4-5번,,308.625 ,-1146.164 ,-30.000 ,0.000 ,0.000 ,-74.522 ,304.056 ,-1153.134 ,472.500 ,0.000 ,0.000 ,-74.821 ,306.389 ,-1161.737 ,968.940 ,0.000 ,-2.238 ,-74.824 
4-6번,,298.942 ,-111.188 ,-30.000 ,0.000 ,0.000 ,-74.522 ,296.144 ,-1123.969 ,472.500 ,0.000 ,0.000 ,-74.823 ,299.052 ,-1134.691 ,967.845 ,0.000 ,-2.238 ,-74.823 
4-7번,,291.257 ,-1086.429 ,-30.000 ,0.000 ,0.000 ,-74.522 ,288.405 ,-1095.447 ,472.500 ,0.000 ,0.000 ,-74.824 ,289.562 ,-1099.709 ,966.429 ,0.000 ,-2.238 ,-74.824 
4-2번 센서,,366.899 ,-952.753 ,-60.000 ,0.000 ,0.000 ,-68.861 ,366.899 ,-952.753 ,434.000 ,0.000 ,0.000 ,-68.861 ,366.899 ,-952.753 ,931.341 ,0.000 ,-2.239 ,-68.861 
5-1번,,229.889 ,-1151.845 ,-30.000 ,0.000 ,0.000 ,-78.302 ,231.807 ,-1161.115 ,472.500 ,0.000 ,0.000 ,-78.302 ,234.064 ,-1172.020 ,968.694 ,0.000 ,-2.238 ,-78.302 
5-2번,,227.009 ,-1137.933 ,-30.000 ,0.000 ,0.000 ,-78.302 ,228.521 ,-1145.242 ,472.500 ,0.000 ,0.000 ,-78.302 ,229.661 ,-1150.748 ,967.845 ,0.000 ,-2.238 ,-78.302 
5-3번,,222.922 ,-1118.195 ,-30.000 ,0.000 ,0.000 ,-78.302 ,224.673 ,-1126.658 ,472.500 ,0.000 ,0.000 ,-78.302 ,224.673 ,-1126.658 ,966.885 ,0.000 ,-2.238 ,-78.302 
5-1번 센서,,304.396 ,-974.523 ,-60.000 ,0.000 ,0.000 ,-72.576 ,304.396 ,-974.523 ,434.000 ,0.000 ,0.000 ,-72.576 ,304.396 ,-974.523 ,931.341 ,0.000 ,-2.239 ,-72.576 
5-4번,,218.600 ,-1097.328 ,-30.000 ,0.000 ,0.000 ,-78.302 ,219.612 ,-1102.214 ,472.500 ,0.000 ,0.000 ,-78.302 ,220.936 ,-1108.608 ,966.165 ,0.000 ,-2.238 ,-78.302 
5-5번,,162.048 ,-1176.323 ,-30.000 ,0.000 ,0.000 ,-81.750 ,162.960 ,-1182.595 ,472.500 ,0.000 ,0.000 ,-81.750 ,164.219 ,-1191.282 ,968.983 ,0.000 ,-2.238 ,-81.750 
5-6번,,157.337 ,-1143.834 ,-30.000 ,0.000 ,0.000 ,-81.750 ,158.171 ,-1149.578 ,472.500 ,0.000 ,0.000 ,-81.750 ,159.096 ,-1155.958 ,967.589 ,0.000 ,-2.238 ,-81.750 
5-7번,,152.378 ,-1109.636 ,-30.000 ,0.000 ,0.000 ,-81.750 ,153.590 ,-1117.994 ,472.500 ,0.000 ,0.000 ,-81.750 ,154.858 ,-1126.735 ,966.435 ,0.000 ,-2.238 ,-81.750 
